year,pitcher_id,pitch_type,run_value_per_100,run_value,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
2022,425844,FF,-1,-9,179,0.299,0.455,0.351,15.4,12.8,11.9,0.332,0.579,0.411,50.7
2022,571800,FF,1.1,8,179,0.297,0.493,0.405,16,11.7,10.4,0.294,0.539,0.416,44.2
2022,608344,SIFT,0,0,179,0.278,0.438,0.356,13.4,9.5,14.3,0.297,0.496,0.37,37.7
2022,669060,SIFT,-0.4,-2,179,0.306,0.4,0.36,11.7,11.7,16.9,0.296,0.407,0.342,48.9
2022,471911,SL,-0.7,-4,179,0.222,0.339,0.259,35.5,33,26.2,0.202,0.315,0.242,30.1
2022,593423,FF,0.6,4,178,0.274,0.427,0.33,26.3,31.5,21.1,0.227,0.378,0.307,40.4
2022,657093,FF,0.5,3,178,0.268,0.446,0.349,8.6,7.9,9,0.31,0.53,0.394,44.8
2022,676477,SIFT,-0.9,-6,177,0.245,0.374,0.302,25.3,23.2,22.3,0.233,0.368,0.29,39.8
2022,548389,CH,-0.3,-2,176,0.203,0.355,0.245,34,29,20.2,0.228,0.318,0.239,30.9
2022,605218,FF,-0.5,-3,176,0.229,0.346,0.311,21.6,22.7,19,0.201,0.323,0.285,35.1
2022,605154,SL,0.2,1,176,0.299,0.433,0.339,23.2,11.4,12.5,0.258,0.384,0.298,38.8
2022,605182,FF,0,0,176,0.252,0.497,0.359,21.1,18.2,15.7,0.275,0.538,0.388,48.8
2022,608379,FF,1.4,9,176,0.287,0.537,0.386,14,18.2,15.5,0.291,0.542,0.384,46.5
2022,456501,SIFT,-0.8,-4,175,0.294,0.431,0.347,10.5,9.1,13.6,0.288,0.436,0.337,34
2022,657248,ST,0.4,3,174,0.225,0.406,0.296,33.2,30.5,23.2,0.21,0.366,0.286,30
2022,663474,SL,1.7,11,174,0.271,0.5,0.34,27,17.8,18.1,0.258,0.448,0.311,30.9
2022,621112,SIFT,0.3,2,174,0.265,0.391,0.356,14.4,12.6,16.7,0.282,0.412,0.352,50.8
2022,643511,FF,-0.7,-4,173,0.265,0.316,0.311,12.5,5.8,9.4,0.27,0.348,0.315,38.6
2022,592858,FF,-0.9,-5,173,0.248,0.399,0.323,21.3,26,23.4,0.271,0.467,0.353,43.2
2022,607536,CUKC,0.5,3,173,0.203,0.32,0.277,31.6,36.4,19.6,0.213,0.348,0.292,37.6
2022,592836,FF,0.6,4,172,0.268,0.464,0.355,21.4,22.7,17,0.247,0.474,0.351,48.2
2022,656876,FC,-1.7,-13,172,0.248,0.36,0.31,30,16.3,23.1,0.244,0.383,0.303,36.8
2022,579328,SL,1.3,7,172,0.288,0.608,0.421,33,27.9,23.9,0.249,0.452,0.344,45.7
2022,657006,SL,-1.4,-9,172,0.138,0.219,0.183,32.1,42.4,24,0.176,0.264,0.224,30.3
2022,663556,CH,-2.1,-13,172,0.145,0.181,0.167,44.6,35.5,27.9,0.186,0.243,0.202,24.3
2022,593423,FS,-0.1,-1,172,0.177,0.28,0.237,36.1,34.9,19.9,0.18,0.281,0.223,33.7
2022,664062,FS,-2.9,-16,172,0.113,0.202,0.147,32.3,34.9,23,0.187,0.259,0.205,32.4
2022,663855,SIFT,0.1,0,172,0.259,0.343,0.341,13.9,9.3,12,0.27,0.397,0.356,35.9
2022,608032,FF,-0.2,-2,171,0.22,0.393,0.318,21,21.1,14,0.258,0.436,0.343,41.7
2022,543135,FF,0.1,1,171,0.306,0.522,0.375,16.3,17.5,15.7,0.291,0.561,0.388,49.6
2022,642547,FF,-0.3,-2,171,0.211,0.336,0.28,24.9,28.7,20,0.202,0.329,0.275,35.2
2022,608337,SL,0.8,5,171,0.28,0.488,0.338,30.8,23.4,21.5,0.269,0.423,0.311,46.4
2022,554430,SL,-0.3,-2,171,0.204,0.352,0.272,24.4,26.9,22.2,0.217,0.335,0.262,30.2
2022,571800,SL,-0.2,-1,171,0.274,0.39,0.314,27.6,19.3,16.2,0.26,0.413,0.307,43.2
